"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>";
"attachables/aps/desc";"Avtomat Podvodny Spetsialnyy";"Avtomat Podvodny Spetsialnyy";"Avtomat Podvodny Spetsialnyy";"Avtomat Podvodny Spetsialnyy";"Avtomat Podvodny Spetsialnyy";"Avtomat Podvodny Spetsialnyy";"Avtomat Podvodny Spetsialnyy";"Avtomat Podvodny Spetsialnyy";"Avtomat Podvodny Spetsialnyy";"Avtomat Podvodny Spetsialnyy";"Avtomat Podvodny Spetsialnyy";"Avtomat Podvodny Spetsialnyy";"Avtomat Podvodny Spetsialnyy";"Avtomat Podvodny Spetsialnyy";"Avtomat Podvodny Spetsialnyy";"Avtomat Podvodny Spetsialnyy";"Avtomat Podvodny Spetsialnyy";"Avtomat Podvodny Spetsialnyy";"Avtomat Podvodny Spetsialnyy";"Avtomat Podvodny Spetsialnyy";;;
"attachables/aks_74u";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";;;
"attachables/aks_74u/desc";"5.45×39mm Folding Shortened Kalashnikov Automatic Rifle, AKS-74U (6P26)";"5.45×39mm Folding Shortened Kalashnikov Automatic Rifle, AKS-74U (6P26)";"5.45×39mm Folding Shortened Kalashnikov Automatic Rifle, AKS-74U (6P26)";"5.45×39mm Folding Shortened Kalashnikov Automatic Rifle, AKS-74U (6P26)";"5.45×39mm Folding Shortened Kalashnikov Automatic Rifle, AKS-74U (6P26)";"5.45×39mm Folding Shortened Kalashnikov Automatic Rifle, AKS-74U (6P26)";"5.45×39mm Folding Shortened Kalashnikov Automatic Rifle, AKS-74U (6P26)";"5.45×39mm Folding Shortened Kalashnikov Automatic Rifle, AKS-74U (6P26)";"5.45×39mm Folding Shortened Kalashnikov Automatic Rifle, AKS-74U (6P26)";"5.45×39mm Folding Shortened Kalashnikov Automatic Rifle, AKS-74U (6P26)";"5.45×39mm Folding Shortened Kalashnikov Automatic Rifle, AKS-74U (6P26)";"5.45×39mm Folding Shortened Kalashnikov Automatic Rifle, AKS-74U (6P26)";"5.45×39mm Folding Shortened Kalashnikov Automatic Rifle, AKS-74U (6P26)";"5.45×39mm Folding Shortened Kalashnikov Automatic Rifle, AKS-74U (6P26)";"5.45×39mm Folding Shortened Kalashnikov Automatic Rifle, AKS-74U (6P26)";"5.45×39mm Folding Shortened Kalashnikov Automatic Rifle, AKS-74U (6P26)";"5.45×39mm Folding Shortened Kalashnikov Automatic Rifle, AKS-74U (6P26)";"5.45×39mm Folding Shortened Kalashnikov Automatic Rifle, AKS-74U (6P26)";"5.45×39mm Folding Shortened Kalashnikov Automatic Rifle, AKS-74U (6P26)";"5.45×39mm Folding Shortened Kalashnikov Automatic Rifle, AKS-74U (6P26)";;;
"attachables/akms";"AKMS";"AKMS";"AKMS";"AKMS";"AKMS";"AKMS";"AKMS";"AKMS";"AKMS";"AKMS";"AKMS";"AKMS";"AKMS";"AKMS";"AKMS";"AKMS";"AKMS";"AKMS";"AKMS";"AKMS";;;
"attachables/akms/desc";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS";;;
"attachables/akms_premium";"AKMS (Gold-Plated)";"AKMS (Gold-Plated)";"AKMS (Gold-Plated)";"AKMS (Gold-Plated)";"AKMS (Gold-Plated)";"AKMS (Gold-Plated)";"AKMS (Gold-Plated)";"AKMS (Gold-Plated)";"AKMS (Gold-Plated)";"AKMS (Gold-Plated)";"AKMS (Gold-Plated)";"AKMS (Gold-Plated)";"AKMS (Gold-Plated)";"AKMS (Gold-Plated)";"AKMS (Gold-Plated)";"AKMS (Gold-Plated)";"AKMS (Gold-Plated)";"AKMS (Gold-Plated)";"AKMS (Gold-Plated)";"AKMS (Gold-Plated)";;;
"attachables/akms_premium/desc";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS (Gold-Plated) \nThe ideal weapon for dictators and drug dealers. But you have a tank.";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS (Gold-Plated) \nThe ideal weapon for dictators and drug dealers. But you have a tank.";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS (Gold-Plated) \nThe ideal weapon for dictators and drug dealers. But you have a tank.";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS (Gold-Plated) \nThe ideal weapon for dictators and drug dealers. But you have a tank.";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS (Gold-Plated) \nThe ideal weapon for dictators and drug dealers. But you have a tank.";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS (Gold-Plated) \nThe ideal weapon for dictators and drug dealers. But you have a tank.";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS (Gold-Plated) \nThe ideal weapon for dictators and drug dealers. But you have a tank.";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS (Gold-Plated) \nThe ideal weapon for dictators and drug dealers. But you have a tank.";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS (Gold-Plated) \nThe ideal weapon for dictators and drug dealers. But you have a tank.";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS (Gold-Plated) \nThe ideal weapon for dictators and drug dealers. But you have a tank.";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS (Gold-Plated) \nThe ideal weapon for dictators and drug dealers. But you have a tank.";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS (Gold-Plated) \nThe ideal weapon for dictators and drug dealers. But you have a tank.";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS (Gold-Plated) \nThe ideal weapon for dictators and drug dealers. But you have a tank.";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS (Gold-Plated) \nThe ideal weapon for dictators and drug dealers. But you have a tank.";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS (Gold-Plated) \nThe ideal weapon for dictators and drug dealers. But you have a tank.";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS (Gold-Plated) \nThe ideal weapon for dictators and drug dealers. But you have a tank.";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS (Gold-Plated) \nThe ideal weapon for dictators and drug dealers. But you have a tank.";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS (Gold-Plated) \nThe ideal weapon for dictators and drug dealers. But you have a tank.";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS (Gold-Plated) \nThe ideal weapon for dictators and drug dealers. But you have a tank.";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS (Gold-Plated) \nThe ideal weapon for dictators and drug dealers. But you have a tank.";;;
"attachables/akms_ag";"AKMS (GP-25)";"AKMS (GP-25)";"AKMS (GP-25)";"AKMS (GP-25)";"AKMS (GP-25)";"AKMS (GP-25)";"AKMS (GP-25)";"AKMS (GP-25)";"AKMS (GP-25)";"AKMS (GP-25)";"AKMS (GP-25)";"AKMS (GP-25)";"AKMS (GP-25)";"AKMS (GP-25)";"AKMS (GP-25)";"AKMS (GP-25)";"AKMS (GP-25)";"AKMS (GP-25)";"AKMS (GP-25)";"AKMS (GP-25)";;;
"attachables/akms_ag/desc";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS (25mm Under-Barrel Grenade Launcher, GP-25)";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS (25mm Under-Barrel Grenade Launcher, GP-25)";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS (25mm Under-Barrel Grenade Launcher, GP-25)";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS (25mm Under-Barrel Grenade Launcher, GP-25)";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS (25mm Under-Barrel Grenade Launcher, GP-25)";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS (25mm Under-Barrel Grenade Launcher, GP-25)";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS (25mm Under-Barrel Grenade Launcher, GP-25)";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS (25mm Under-Barrel Grenade Launcher, GP-25)";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS (25mm Under-Barrel Grenade Launcher, GP-25)";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS (25mm Under-Barrel Grenade Launcher, GP-25)";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS (25mm Under-Barrel Grenade Launcher, GP-25)";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS (25mm Under-Barrel Grenade Launcher, GP-25)";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS (25mm Under-Barrel Grenade Launcher, GP-25)";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS (25mm Under-Barrel Grenade Launcher, GP-25)";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS (25mm Under-Barrel Grenade Launcher, GP-25)";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS (25mm Under-Barrel Grenade Launcher, GP-25)";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS (25mm Under-Barrel Grenade Launcher, GP-25)";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS (25mm Under-Barrel Grenade Launcher, GP-25)";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS (25mm Under-Barrel Grenade Launcher, GP-25)";"7.62×39mm Folding Modernised Kalashnikov Automatic Rifle, AKMS (25mm Under-Barrel Grenade Launcher, GP-25)";;;
"attachables/akm_47";"AKM";"AKM";"AKM";"AKM";"AKM";"AKM";"AKM";"AKM";"AKM";"AKM";"AKM";"AKM";"AKM";"AKM";"AKM";"AKM";"AKM";"AKM";"AKM";"AKM";;;
"attachables/akm_47/desc";"7.62×39mm Modernised Kalashnikov Automatic Rifle, AKM";"7.62×39mm Modernised Kalashnikov Automatic Rifle, AKM";"7.62×39mm Modernised Kalashnikov Automatic Rifle, AKM";"7.62×39mm Modernised Kalashnikov Automatic Rifle, AKM";"7.62×39mm Modernised Kalashnikov Automatic Rifle, AKM";"7.62×39mm Modernised Kalashnikov Automatic Rifle, AKM";"7.62×39mm Modernised Kalashnikov Automatic Rifle, AKM";"7.62×39mm Modernised Kalashnikov Automatic Rifle, AKM";"7.62×39mm Modernised Kalashnikov Automatic Rifle, AKM";"7.62×39mm Modernised Kalashnikov Automatic Rifle, AKM";"7.62×39mm Modernised Kalashnikov Automatic Rifle, AKM";"7.62×39mm Modernised Kalashnikov Automatic Rifle, AKM";"7.62×39mm Modernised Kalashnikov Automatic Rifle, AKM";"7.62×39mm Modernised Kalashnikov Automatic Rifle, AKM";"7.62×39mm Modernised Kalashnikov Automatic Rifle, AKM";"7.62×39mm Modernised Kalashnikov Automatic Rifle, AKM";"7.62×39mm Modernised Kalashnikov Automatic Rifle, AKM";"7.62×39mm Modernised Kalashnikov Automatic Rifle, AKM";"7.62×39mm Modernised Kalashnikov Automatic Rifle, AKM";"7.62×39mm Modernised Kalashnikov Automatic Rifle, AKM";;;
"attachables/ak_103";"AK-103";"AK-103";"AK-103";"AK-103";"AK-103";"AK-103";"AK-103";"AK-103";"AK-103";"AK-103";"AK-103";"AK-103";"AK-103";"AK-103";"AK-103";"AK-103";"AK-103";"AK-103";"AK-103";"AK-103";;;
"attachables/ak_103/desc";"7.62×39mm Kalashnikov Automatic Rifle Obrazca 1974, AK-103 (6P45)";"7.62×39mm Kalashnikov Automatic Rifle Obrazca 1974, AK-103 (6P45)";"7.62×39mm Kalashnikov Automatic Rifle Obrazca 1974, AK-103 (6P45)";"7.62×39mm Kalashnikov Automatic Rifle Obrazca 1974, AK-103 (6P45)";"7.62×39mm Kalashnikov Automatic Rifle Obrazca 1974, AK-103 (6P45)";"7.62×39mm Kalashnikov Automatic Rifle Obrazca 1974, AK-103 (6P45)";"7.62×39mm Kalashnikov Automatic Rifle Obrazca 1974, AK-103 (6P45)";"7.62×39mm Kalashnikov Automatic Rifle Obrazca 1974, AK-103 (6P45)";"7.62×39mm Kalashnikov Automatic Rifle Obrazca 1974, AK-103 (6P45)";"7.62×39mm Kalashnikov Automatic Rifle Obrazca 1974, AK-103 (6P45)";"7.62×39mm Kalashnikov Automatic Rifle Obrazca 1974, AK-103 (6P45)";"7.62×39mm Kalashnikov Automatic Rifle Obrazca 1974, AK-103 (6P45)";"7.62×39mm Kalashnikov Automatic Rifle Obrazca 1974, AK-103 (6P45)";"7.62×39mm Kalashnikov Automatic Rifle Obrazca 1974, AK-103 (6P45)";"7.62×39mm Kalashnikov Automatic Rifle Obrazca 1974, AK-103 (6P45)";"7.62×39mm Kalashnikov Automatic Rifle Obrazca 1974, AK-103 (6P45)";"7.62×39mm Kalashnikov Automatic Rifle Obrazca 1974, AK-103 (6P45)";"7.62×39mm Kalashnikov Automatic Rifle Obrazca 1974, AK-103 (6P45)";"7.62×39mm Kalashnikov Automatic Rifle Obrazca 1974, AK-103 (6P45)";"7.62×39mm Kalashnikov Automatic Rifle Obrazca 1974, AK-103 (6P45)";;;
"attachables/decor_dakimakura_anime_usa";"Stars and Stripes Sweetie dakimakura";"Stars and Stripes Sweetie dakimakura";"Stars and Stripes Sweetie dakimakura";"Stars and Stripes Sweetie dakimakura";"Stars and Stripes Sweetie dakimakura";"Stars and Stripes Sweetie dakimakura";"Stars and Stripes Sweetie dakimakura";"Stars and Stripes Sweetie dakimakura";"Stars and Stripes Sweetie dakimakura";"Stars and Stripes Sweetie dakimakura";"Stars and Stripes Sweetie dakimakura";"Stars and Stripes Sweetie dakimakura";"Stars and Stripes Sweetie dakimakura";"Stars and Stripes Sweetie dakimakura";"Stars and Stripes Sweetie dakimakura";"Stars and Stripes Sweetie dakimakura";"Stars and Stripes Sweetie dakimakura";"Stars and Stripes Sweetie dakimakura";"Stars and Stripes Sweetie dakimakura";"Stars and Stripes Sweetie dakimakura";;;
"attachables/decor_dakimakura_anime_usa/desc";"Fight for the Sweetie with a Stars and Stripes pattern secret that she might just share during a night battle if you win.\nArtist: Karo (カロ)";"Fight for the Sweetie with a Stars and Stripes pattern secret that she might just share during a night battle if you win.\nArtist: Karo (カロ)";"Fight for the Sweetie with a Stars and Stripes pattern secret that she might just share during a night battle if you win.\nArtist: Karo (カロ)";"Fight for the Sweetie with a Stars and Stripes pattern secret that she might just share during a night battle if you win.\nArtist: Karo (カロ)";"Fight for the Sweetie with a Stars and Stripes pattern secret that she might just share during a night battle if you win.\nArtist: Karo (カロ)";"Fight for the Sweetie with a Stars and Stripes pattern secret that she might just share during a night battle if you win.\nArtist: Karo (カロ)";"Fight for the Sweetie with a Stars and Stripes pattern secret that she might just share during a night battle if you win.\nArtist: Karo (カロ)";"Fight for the Sweetie with a Stars and Stripes pattern secret that she might just share during a night battle if you win.\nArtist: Karo (カロ)";"Fight for the Sweetie with a Stars and Stripes pattern secret that she might just share during a night battle if you win.\nArtist: Karo (カロ)";"Fight for the Sweetie with a Stars and Stripes pattern secret that she might just share during a night battle if you win.\nArtist: Karo (カロ)";"Fight for the Sweetie with a Stars and Stripes pattern secret that she might just share during a night battle if you win.\nArtist: Karo (カロ)";"Fight for the Sweetie with a Stars and Stripes pattern secret that she might just share during a night battle if you win.\nArtist: Karo (カロ)";"Fight for the Sweetie with a Stars and Stripes pattern secret that she might just share during a night battle if you win.\nArtist: Karo (カロ)";"Fight for the Sweetie with a Stars and Stripes pattern secret that she might just share during a night battle if you win.\nArtist: Karo (カロ)";"Fight for the Sweetie with a Stars and Stripes pattern secret that she might just share during a night battle if you win.\nArtist: Karo (カロ)";"Fight for the Sweetie with a Stars and Stripes pattern secret that she might just share during a night battle if you win.\nArtist: Karo (カロ)";"Fight for the Sweetie with a Stars and Stripes pattern secret that she might just share during a night battle if you win.\nArtist: Karo (カロ)";"Fight for the Sweetie with a Stars and Stripes pattern secret that she might just share during a night battle if you win.\nArtist: Karo (カロ)";"Fight for the Sweetie with a Stars and Stripes pattern secret that she might just share during a night battle if you win.\nArtist: Karo (カロ)";"Fight for the Sweetie with a Stars and Stripes pattern secret that she might just share during a night battle if you win.\nArtist: Karo (カロ)";;;
"attachables/decor_dakimakura_anime_ussr";"Motherland Maiden dakimakura";"Motherland Maiden dakimakura";"Motherland Maiden dakimakura";"Motherland Maiden dakimakura";"Motherland Maiden dakimakura";"Motherland Maiden dakimakura";"Motherland Maiden dakimakura";"Motherland Maiden dakimakura";"Motherland Maiden dakimakura";"Motherland Maiden dakimakura";"Motherland Maiden dakimakura";"Motherland Maiden dakimakura";"Motherland Maiden dakimakura";"Motherland Maiden dakimakura";"Motherland Maiden dakimakura";"Motherland Maiden dakimakura";"Motherland Maiden dakimakura";"Motherland Maiden dakimakura";"Motherland Maiden dakimakura";"Motherland Maiden dakimakura";;;
